,$,private,public,dot,rpar,lpar,id,float,integer,semi,return,write,read,while,else,then,if,rcurbr,lcurbr,minus,plus,void,comma,geq,leq,gt,lt,neq,eq,isa,and,div,mult,colon,attribute,constructor,arrow,function,localvar,rsqbr,lsqbr,sr,not,floatlit,intlit,class,equal,or
START,REPTSTART0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,REPTSTART0,,,,,,,,REPTSTART0,,
ADDOP,,,,,,,,,,,,,,,,,,,,minus,plus,,,,,,,,,,,,,,,,,,,,,,,,,,,or
APARAMS,,,,,&epsilon,EXPR REPTAPARAMS1,EXPR REPTAPARAMS1,,,,,,,,,,,,,EXPR REPTAPARAMS1,EXPR REPTAPARAMS1,,,,,,,,,,,,,,,,,,,,,,EXPR REPTAPARAMS1,EXPR REPTAPARAMS1,EXPR REPTAPARAMS1,,,
APARAMSTAIL,,,,,,,,,,,,,,,,,,,,,,,comma EXPR,,,,,,,,,,,,,,,,,,,,,,,,,
ARITHEXPR,,,,,,TERM RIGHTRECARITHEXPR,TERM RIGHTRECARITHEXPR,,,,,,,,,,,,,TERM RIGHTRECARITHEXPR,TERM RIGHTRECARITHEXPR,,,,,,,,,,,,,,,,,,,,,,TERM RIGHTRECARITHEXPR,TERM RIGHTRECARITHEXPR,TERM RIGHTRECARITHEXPR,,,
ARRAYSIZE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,lsqbr Flsqbr,,,,,,,
Flsqbr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,rsqbr,,,,,intlit rsqbr,,,
ASSIGNOP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,equal,
ASSIGNSTAT,,,,,,,VARIABLE ASSIGNOP EXPR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CLASSDECL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,class id OPTCLASSDECL2 lcurbr REPTCLASSDECL4 rcurbr semi,,
CLASSDECLORFUNCDEF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FUNCDEF,,,,,,,,CLASSDECL,,
